,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
33,2021-02-19,44686.7890625,45116.109375,44633.390625,44900.078125,172848900,0.0,0.0
34,2021-02-22,44988.3984375,45233.3203125,44743.359375,44946.6015625,243609100,0.0,0.0
35,2021-02-23,44794.80078125,45599.01171875,44397.0,45268.328125,196669900,0.0,0.0
36,2021-02-24,45278.05078125,45445.5703125,44972.19921875,45151.37890625,200388200,0.0,0.0
37,2021-02-25,45306.390625,45738.1484375,44232.421875,44310.26953125,270064300,0.0,0.0
38,2021-02-26,44305.19921875,44670.6796875,44089.3203125,44592.91015625,396111700,0.0,0.0
39,2021-03-01,44787.66015625,45243.33984375,44614.6796875,44784.578125,150723600,0.0,0.0
40,2021-03-02,44766.78125,45818.94921875,44750.8515625,45682.19140625,178031600,0.0,0.0
41,2021-03-03,45873.7109375,46480.73046875,45706.94140625,46377.46875,225885700,0.0,0.0
42,2021-03-04,46366.48828125,46689.4609375,45932.8203125,46004.19140625,228834000,0.0,0.0
43,2021-03-05,46265.8515625,46708.78125,45994.44140625,46342.5390625,207373600,0.0,0.0
44,2021-03-08,46365.94921875,47297.328125,46295.53125,47075.41015625,211292600,0.0,0.0
45,2021-03-09,47169.80078125,47396.33984375,46904.8515625,47103.6015625,216279500,0.0,0.0
46,2021-03-10,47169.7109375,47619.16015625,46943.19921875,47549.671875,168621800,0.0,0.0
47,2021-03-11,47567.1796875,47900.421875,47543.859375,47673.8203125,166637900,0.0,0.0
48,2021-03-12,47574.5,47987.23046875,47478.4296875,47769.87109375,168348900,0.0,0.0
49,2021-03-16,47778.7109375,48251.73046875,47427.7109375,48203.94921875,2152200,0.0,0.0
50,2021-03-17,48204.03125,48314.23828125,47627.41015625,47679.48828125,1431500,0.0,0.0
51,2021-03-18,47799.1484375,47928.69921875,47535.921875,47572.390625,131592500,0.0,0.0
52,2021-03-19,47422.25,47654.12890625,46932.671875,47028.0390625,704660100,0.0,0.0
53,2021-03-22,47123.109375,47567.62109375,47009.6015625,47225.44140625,122860600,0.0,0.0
54,2021-03-23,47309.23828125,47309.23828125,46603.51953125,46659.1796875,151281300,0.0,0.0
55,2021-03-24,46755.87109375,46928.4609375,46559.37109375,46703.140625,148714600,0.0,0.0
56,2021-03-25,46524.55859375,47062.640625,46372.8984375,47012.37109375,178236100,0.0,0.0
57,2021-03-26,47354.21875,47490.078125,46628.01953125,47379.19140625,149907400,0.0,0.0
58,2021-03-29,47430.78125,47790.12109375,47141.5703125,47747.359375,161957000,0.0,0.0
59,2021-03-30,47736.98828125,47936.5703125,47327.23046875,47905.0,141892600,0.0,0.0
60,2021-03-31,47838.2890625,47865.05078125,47030.76171875,47246.26171875,258737600,0.0,0.0
61,2021-04-05,47575.609375,48335.51953125,47487.51953125,48245.8515625,120250200,0.0,0.0
62,2021-04-06,48238.671875,48238.671875,47876.08984375,47985.4296875,106725000,0.0,0.0
63,2021-04-07,47571.55078125,48053.16015625,47478.62109375,47897.83984375,166002400,0.0,0.0
64,2021-04-08,47853.55859375,48315.3203125,47756.98046875,48188.1484375,148442300,0.0,0.0
65,2021-04-09,48185.078125,48253.12109375,47588.9296875,47627.671875,138001200,0.0,0.0
66,2021-04-12,47576.3203125,47754.51953125,47253.4609375,47352.1796875,116556700,0.0,0.0
